comment,sentiment
just thought but wish could design society around maslow hierarchy of needs basically meeting everyone needs starting with physiological and safety needs then developing communities to make real connections and build everyone self esteem hopefully self actualization would be achievable for more people my solution would be to encourage people at the top to help people at the bottom don think it that crazy and actually think it possible and maybe the most practical way to help as many people,neutral
two kinds of zealots versus our spiritual self actualization longings,neutral
maslow hierarchy is copy from greek books all the knowledge teached in the universities come from ancien greek remember that the greek said everything none can escape niche said something about this,negative
one of the best explanations of this pyramid,positive
but when people complain about not getting the third step they are told they are lazy ince and need to touch grass,negative
studied this in college and believe everyone on the planet is tied to this pyramid,positive
mhon matters that is soooo racist jk,positive
stop believing what they feed you,neutral
maslow hierarchy is jewish myth and total bullcrap just like,negative
maslow hierarchy is another jewish myth that has been propagated and is total bull crap,negative
merry christmas cat hope you have wonderful christmas greetings from oklahoma you ll be my violin lesson christmas gift,neutral
that was not my father just some random monster,neutral
don understand why you put gomez addam as thumbnail it make no sense to me,negative
sorry but this sucked,negative
adam,neutral
you re lucky me have already watched the movie lucky lucky me already watched the movie,neutral
fun fact dracula did say blah blah blah in hotel transylvania,neutral
very phine as s,neutral
guys gottah tell you something m gay,neutral
because all of disney cartoons are have the same cartoons,neutral
was kidding,neutral
you lair,negative
she look like wednesday,neutral
where are the addams,neutral
wednesday addams dads in there,neutral
jurassic park our jurassic world,neutral
dracula says bleh bleh bleh in hotel transylvania 3 when on his phone also he says it when he says he doesn say it,neutral
you sukkkkkkkk,negative
were is gomez,neutral
hold up that is wednesday dad,neutral
this video is filled with spoilers proceeds to play the film,negative
lost the match because of this know how much cheap people are,negative
pdf file follower,neutral
mashallah allah hu akbar,positive
vive la france god bless france,positive
is this really the place to push religious agenda,neutral
lol enough after so much of chanting they lost to france,neutral
and this is why they morocco lost the game want religion free free world,neutral
mashallah,positive
now mohammed army is defeated by france dogma beliefs has no scope in human consciousness,negative
and allah failed mohd didn get the msg probably the messenger has faulty communication lines,negative
that was to teach leçon to macron he was in the tribune for the semi final morocco vs france,neutral
muslims just want to convert everyone,negative
there mo allah there ni allah,neutral
no islam virus,negative
and then allah power didn work and france won fake allah,negative
islam phir haar gaya,neutral
god sent jesus and morocco behaviour towards other teams was disgusting they deserved to lose like satan,neutral
l00sers,negative
the whole muslim community is psyco,negative
lol lost,negative
gtpl pe review kar dijiye,neutral
one of the hardest things to do is to be ready to change your own mind,neutral
this is so good,positive
pitiful in way that all these tactics are necessary,neutral
don know when hear trevor noah speak don think charisma think whiny insulting far left hack he does do one thing properly when he hands down loses an argument he usually just shuts up on stunned silence,negative
havent watched video yet but one thing want people to think about fairness is simple manipulation is most effective when it seems simple,positive
jordan peterson is also an excellent source for this topic,positive
what rmany people don get is that you need to be able to think on the fly and respond instantaneously of which is skull that has ro be learned and if you can you can be pure tactitian and make people understand your argument by actively placing them into your perspective and having them play the issue out in their own skin by the merits of their own beliefs,neutral
ironic this comes in my mentions the last day trevor is on the daily show he truly is one of the worlds best all around speakers,positive
valuable points however raising your voice or showing passion doesn have to be bad thing likewise just trying to be diplomatic or avoiding confrontation for the sake can really lack substance and principle,positive
this proves that comedians are highly intelligent,positive
so pathetic don any of you have your own mojo or instincts or do you have to study every move you make through life how sheltered and wierd do you get b4 you start doing this kind of research,negative
someone you are gay me yes but,neutral
it important to let the other person know you hear them doesn mean you have to agree you may learn something in the process,neutral
he has come long way since his days on different strokes with gary coleman,positive
this is basically the opposite of what family member of mine does and he has openly admitted he doesn like debating many people have tried to get him to see other perspectives but he just gets angry and turns on them we got into terrible argument earlier this year and even after apologized for my part he refused to apologize for his or give any empathy any advice on how to deal with family member who is that extreme my current strategy is very little contact and only on subjects know we agree on so basically pets and jobs,neutral
pls dont use trevor noah as an example to us,negative
this is how love to speak have found however that not many others have the capacity to do so,positive
yeah he baited her like they always do ams they fall for it,negative
thus is why ilike trevor,positive
dig afro look 4ca better carer dude mjust moody,positive
it december 5 2022 my favorite radio station in the whole world is playing this song right now life does not get better than this,positive
2022 woot now sucks there tunes shit today but today is shittier than then pftt on us for losing the fun,negative
at 0 27 that little rift just makes me dance when it kicks,positive
had to cut the 50 s day line for the american audience,negative
cats,neutral
these freak,neutral
ireland,neutral
even though the clash had alotta hits mick jones big audio dynamit had 2 3 songs at least that knew enjoyed,positive
is that dude rapping clint mansell from pop will eat itself it looks lot like him but,neutral
dont,neutral
bet no,neutral
you see all those kids at 0 43 wearing identical white tees with black and red lines we were walking in our annual march for hunger 26 mile walk from skid row to santa monica to raise money to feed the homeless it was just coincidence we were there and we got to be in music video how la is that,neutral
thought these guys were american but should have known better by the teeth,negative
why do they keep repeating the same thing,negative
timeless,neutral
history is an art form,positive
ah so that where fergie got her groove from,neutral
on one of his songs he used lionel richie sample without crediting the original source he probably thinks richie has never heard of the clash,negative
where the party officer,neutral
was young when owned this cassette and no one else around me got it m glad did we res the party officer,positive
believe it or not perfect punk wood is difficult to find in our area of the philippines groundskeeping crews inside our subdivision scoop up most limbs and logs much of what we find is not ready yet the rest is too far gone to pick up it will crumble to nothing we are always looking knowing that we do not need much material we have started aging some wood chunks in our small garden at the front of our home the wood pieces are simply part of the display we hope to catch the wood at the point of perfect punk not recommended near wood structure but most homes here in the phils are cement hollow block and re bar construction maybe it is time to move north to the mountains permanently,neutral
that slow motion punk wood pour you know what we like,neutral
thats interesting using the punkwood dust seems like it takes little while before it gets going but works and neat experiment thanks again for the instruction and be safe out there,positive
how about crushed punk wood and wood ash mixed any difference think the ash may accelerate the burn after ignition maestro,neutral
that was really good tip thanks for the lesson david,positive
pinecones are an awesome resource ive sat by the river on several nights with huge bag of pinecones and hanging hobo stove just feeding the fire neat idea with the punk wood,positive
thanks david,positive
pine cones seem to do well for sure,positive
good evening how long and how did you dry the punkwood greetings from germany,positive
good videomen thank you for teaching,positive
if you put fuse on that pine cone bomb it would be classic 3 explosive and the feds would be at your door you keep fire making interesting,positive
that was interesting david thanks for sharing god bless,positive
this guy is awesome,positive
you are the god of fire,positive
it sounds like dish from fancy french restaurant our fire du jour is punkwood stuffed pine cones empty bic and swirling winds ignited 350 00 bon appetit please follow the links below and subscribe thank you 40 pine cones and fatwood for breakfast https youtu be cz3p_ 83qua empty bics making fire https www youtube com playlist list plkoxx8xsmw3kwv1ni1qnjnatqdhgjfcw5,neutral
discover céline that you ve never seen before as you to travel with her her family and the crew around the world africa asia oceania europe and north america céline through the eyes of the world opens the backstage door to the tour that brought her show to 25 countries and 93 cities you ll be right there with céline both on and off stage 25 exciting and intimate clips including performances of drove all night and pour que tu aimes encore are now available here https youtube com playlist list plp2wqy2c9oij8kioydlgsm6elowd5yxpt,positive
great song xxxxx xxxxx xxxxx xxxxx,positive
hi good evening blessings,positive
amazing,positive
great editing,positive
love this song,positive
very busy day,negative
good advocacy,positive
thanks thanks mama ksa love love,positive
can take the nasal intonation out of it,positive
my canadian heart beams girl with the high heels getting up on pianos,positive
the lilac balmain dress is so beautiful,positive
ve so much respect for beautiful talented celine dion love you so much,positive
most beautiful and lovely lady god bless you and your family,positive
that girl reaction is so priceless 3 15 anyways when was this is this from 17 years ago world tour concert,positive
streamed 3 seconds ago,neutral
hey guys im sorry youtube keep disabling the comments again,neutral
omg ur so gifted and skilled ur work is beautiful we love so much,positive
its supernatural extraterrestrial,positive
wait wasn this your 3rd ever video,neutral
god just caste then in movie already,neutral
wearing buzz lightyear hoodie pjs,neutral
hey cae just wanted to say your videos are amazing you are the definition of beautiful and talented you have been inspiring me lately as am new you gave me motivation to make new stories as am an author even if am wish to be like you even if will not be succesful will still support you more than anything,positive
get messages from the stars,neutral
can do zombie apocalypse pov,neutral
can you do video where you show us how you do your makeup looks there always so pretty and mystical,neutral
me saying the lyrics wrong my whole life,neutral
girl are so pretty,positive
gay,neutral
amazing,positive
love how the alien acts like aaaaaaaaaaa its so enchanting and amazing keep it up,positive
how do you do the cool magic looking thing with videos like the alien,neutral
is it supposed to be stockholm syndrome,neutral
love theists,positive
love your videos,positive
can do the museum again love them,positive
fgtv like man,positive
siri spell spending money,positive
youcool,neutral
bro can even spend 10 defiantly would die,negative
chase is playing the best game ever lol,neutral
broooooo first time see scolding him,neutral
what the game name,neutral
is it just me or is it funny when he says in the name of jeasus,positive
happy birthday to you,positive
luckily,neutral
man he am not cuz yesterday was my birthday wasn even that good,neutral
what the heck cgase,negative
happy birthday chase,positive
love the videos,positive
7 03 when duddy swears,neutral
watched this video like 17 times and just liked it today happy birthday tho chase,positive
he did technically he did make you money by putting that clip in the vid googled it and you guys make 1 21 per 1000 views and he is the reason that is the thumbnail so he made you more than 36000 bucks,neutral
wait wait did doody just swear,neutral
game name and happy birthday chase,neutral
chase imma ruin this man whole career,neutral
damn if had seen this yesterday might have taken some tournament rounds,neutral
what type of dog do you have see husky malamute in it,neutral
who would dislike this honest question what is there to dislike,neutral
thats it play around your opponents win condition thats completely changed how think about it,neutral
as long time fighting game lurker who just got into playing m really enjoying your videos and wisdom excellent content,positive
the art of war basically teaches these kinds of things generally if you have the advantage you take less risks and if you are at disadvantage you have to take more risks also if you know your opponent is in lead and is going to play safe then you can read or play around those less risky options and vise versa,neutral
dog widepeepohappy,positive
brain back off keep calm wait for the enemys panic to lead to mistake easy win heart finish him go,neutral
mostly increases my pressure and try to finish the round asap when got big lead over my opponent sure you can play around and playing safe but for me that means you throw down your good momentum and give more chance for your opponent to make comeback,neutral
the dog needs to be in more videos hype as fuck,positive
shhhhhhhhh how dare you divulge the secret of doing nothing,negative
hey guy it sajam welcome to another installment of my series supernoon is bad episode 10,negative
sajam talks about winning the game not necessarily about having fun in it and gambling on the scramble,neutral
genuinely love sajam application of tournament magic to fg have genuine love for the both of them and often find myself making similar comparisons,positive
want to hug exhibit a,positive
as fellow adult can agree breathing gets harder the older you get,neutral
meanwhile sajam be playing the ungast of bungas on strive,neutral
this advice doesn apply to marvel vs capcom 3,negative
how do people do this in the heat of match,neutral
think an important thing to add onto this is that playing safe does not mean playing passive you don want to take risks but at the same time you don want to give your opponent big opening by waiting apply enough pressure to limit their options so they re forced into big commitment,neutral
pls mobile nomber,neutral
kids voice is so annoying had to stop listening though was interested in the designs,neutral
aapke mobile number kya hai design karvana hai,neutral
very good vedio,positive
a,neutral
company royal plaster decoration works name jatinder singh contact 9810761217 9990056869 work experience 20 years work area delhi ncr we do pop gypsym pvc false ceiling,neutral
https youtu be 30qerpyfplo,neutral
ph no sir,neutral
pop9321365041 y,neutral
https youtu be xxjxkdyduac,neutral
c fall ceiling plane 150 rupees per sq feet,neutral
150 rupees per sq feet,neutral
mail civilwork493 gmail com contact for work,neutral
h,neutral
hi,neutral
80s music song like awesome,positive
at 2 48 my eyes get filled up if tears his voice is just no words he so talented and the reason why hes my bias looking forward to more songs from him 3 purple you,positive
hola pepsi cola jajajajijiji,positive
love,positive
he so handsome,positive
when my depression hits me hard calm myself and listen to this song thank you so much jeon jungkook amazing,positive
sooooo talented,positive
you are amazing,positive
jungkook voice is so nice,positive
my kookie why are you so perfect,positive
so fine bts,positive
love you jungkook,positive
jungkook,positive
so much in love with this song,positive
pero joanna callora be the first batch jungkook jk yone live in the,neutral
very beautiful sounds,positive
commence lucid dreaming,positive
me after realized that was being hunted,negative
this is my noise machine at hotels thanks,neutral
11 21,neutral
sounds same all way through,neutral
have my fan on my face headphones on listening to the rain feels like m in middle of rainforest all bundled up in my blankets best feeling ever goodnight,positive
im here almost every night before sleeping sooo good fr fr,positive
here we are years later and nobody changed the sheets,neutral
we are all but astronauts on mothership earth,positive
have developed low drone hum tinnitus which let my head vibrate with this it stops the vibration it is godsend thank you so much,positive
this must be wesley crusher room it gets no action at all,negative
4 24 27 wow,positive
thank you to whoever created this life saving video,positive
great to sleep to thanks,positive
like how we can see that most people wake up at 6 hrs of sleep due to the new most replayed feature,positive
everyone here has such awesome avatar pics,positive
here am again love this,positive
ve been playing this video almost every night and it never fails to put me to sleep quickly and deeply,positive
listened to this for the first time last night and it was soooo relaxing was off to dream land in no time literally hearing the deep bass of this sound in the background of my dream,positive
malayalis here,neutral
age of empires in ultra resolution amazing work guys,positive
really cool spirit,positive
if never see another build with unfinished interior walls and ceiling again it will be too soon,neutral
naked afraid man do it you guys would rock be worth watching,positive
me at 1am watching this,neutral
this guys are talented,positive
nice,positive
0 25 0 27 0 25 drunk jonah hill,neutral
damn kids these days cant even recognize fat jonah hill boy do feel old,negative
bring me back the twinkies,neutral
need adam sandler jonah hill movie like thats my boy with adam sandler and andy samberg funny people with adam sandler and seth rogen,positive
0 21,neutral
weird fact adam sandler worked with jonah hill twice and jack nicholson and his daughter in 3 movies within span of 6 years outside jack nicholson the others flew under the radar in this scene alone sums it up,neutral
couldn recognize jonah hill in this movie thought some dude who looked kinda like jonah hill,negative
look whos talking captain twinkie of the ss fatass,negative
would freak out if my daughter dressed like that,negative
having already lived through 2017 bear witness to the false advanced technology in the future in this movie,negative
nickacdo avocado in nutshell,neutral
0 58 59 savage,neutral
mon love you bring me back the twinkies,positive
young thug,negative
click is one of the best movies ever change my mind,positive
nobody nikocado avocado 0 25 0 29,neutral
hey when did you get boobs the same time you did dad lol class,neutral
same time you did dad,neutral
00 34,neutral
jesus is beautiful how many of us believe him,positive
thank you my king thank you jesus for all,positive
rescued forgiven and saved all by grace amazing love thank you lord m forever grateful,positive
thank you lord of endless love and mercy to me amen,positive
thank you lord happy thanksgiving church,positive
thank you jesus you ve given me life you ve opened my eyes love you lord love you lord you ve entered my heart you ve set me apart love you lord love you lord,positive
thean nyoon wee is jesus friends,neutral
thean nyoon wee ready help you together king jesus love both,positive
dont hide king jesus saw you and your partner helping you all the way,neutral
thank you lord thank you jesus thank you father thank you and thank you and can not say thank you enough thank you lord,positive
thank you jesus,positive
lil buddy your clueless,neutral
christ has set us free for freedom christ has set us free stand firm therefore and do not submit again to yoke of slavery or sin thank you jesus you set me free galatians 5 2,positive
pulang ke heaven,neutral
thank you jesus christ for giving me the life that have today,positive
안녕하세요 저는 fish13입니다 hello m fish13 그동안 여러분들과 함께 했던 랜드로버 디펜더 90을 매각하려고 합니다 세계에서 손꼽을 만큼 좋은 컨디션의 차라서 오래도록 보유하고 싶지만 다음 차를 준비하기 때문에 새로운 주인을 찾습니다 m going to sell the land rover defender 90 which ve been with you for while it one of the best cars in the world so want to keep it for long time m looking for new owner because m preparing my next car ready 그리고 보유중인 wragler tj 코란도도 매각 예정입니다 and the wragler j korando which we have will be sold 아래 링크의 encar를 참고해주세요 please refer to encar at the link below http www encar com dc dc_cardetailview do carid 33130810 listadvtype enquiry http www encar com dc dc_cardetailview do carid 33130820 listadvtype enquiry,neutral
love this guy,positive
nice camping car and equipment ia the car standard outfitted defender or is the camping equipement bought seperatly best regards from norway and harald,neutral
have you done video on the 110 dynamic yet,neutral
super stupid,negative
hello sir where do you get your great gadgets love your channel,positive
woooow it beautiful,positive
this should have over 100 million views play this song 24 8,positive
where bro from,neutral
bro hard den bitch and running his story in perfect angelic harmony,neutral
aww whooo if you knew what knew m living proof,positive
this inspired my mixtape saved by dha scale,positive
what up derez need you to sign me m going hard be like you on god saved by the scale help me help you gotta get my son back from the booth,neutral
this song fire know its old but fire,positive
who back here 2020,neutral
https soundcloud com youngdrew407 this is it remixyoung drew ft derez deshon ref clipboard,neutral
really had 2 struggle love dis,positive
tooo underrated,positive
gotta sack invested in some bells bitch,neutral
am the scale all peps,neutral
lol am tha scale,neutral
my shit fo sho,negative
underrated asf,positive
2020 it still fire,positive
04 30 m crying,negative
absolutely badass,positive
what nice natured lady,positive
all part of the act,neutral
you are incredible,positive
beautiful and talented performer god bless you in jesus name,positive
in 8 minutes she did what very few pianists would be able to do,positive
foolishly thought yet another video of pianist playing boring classical music but quickly changed my mind am fascinated by her mastery of the situation her cheerfulness spontaneity her talent at the piano her beauty both of the soul and physically and her magnificent smile eliane rodrigues you are very talented had never seen video like that before and especially since nothing was planned in advance really the whole situation is funny impressive and captivating d rather watch this than netflix 10 times positive video,positive
don think ve pushed my wife this far out of the way to watch youtube video before she fine by the way,positive
my granny hadn been entertained like this since 1970,neutral
ameiiiiiiii,neutral
think that she handled doesn handled look like it should be pronounced hand led that situation professionally and would have tried to make it something that would be experimental and entertaining like the way she did she could have blown it into yelling and screaming fit but she is classy pro who lightened things to make something fun out of it bravo,positive
pianis detail good beautifull,positive
omg how old is he you real good mama,positive
good job sweetie,positive
so wonderful this is how my now 2yr old was and m still shook he so vocal and advanced suspect it from watching his now 12 year old brother so much m looking at my 6 month old wondering how he will be,positive
my brother is 2 years old and he can count to 40,positive
sooo cute,positive
great job,positive
mrs rachel is life my grandson loves her and learns so much from her shows,positive
hey mom and dad love the content get fat pencils for your little ones it helps them write even up to 3rd grade,positive
count stairs as you go up and down did this with my toddler and she was able to count to 20 well before she was 2 years old,neutral
are your kids names actually cow badger panda and tiger just couriouis,neutral
very good,positive
yur son issocute,positive
wow amazing my kid is 2 and can say much or just chooses not to,positive
this was so much my oldest he started talking super early by 18 months he was speaking full sentences he also taught himself to count to 10 at 16 months my husband and hadn taught him he just absorbed it somewhere some kids just pick up things very early so exposing them to lots of information is helpful,positive
well done,positive
he is your twin lady think of all your precious children he is gonna be your twin all have the same face,positive
my mom works at daycare and she says kids count by 4 years old you seem to have motherhood gift,positive
so cute and smart like mom and dad and siblings,positive
mama he is your twin look at his eyes,positive
loved the greening when was younger and lived in tennessee would go out into the woods collecting different greens and do the same thing at the time didn truly realize what treasure had at my disposal miss those times merry christmas all love and blessings,positive
bought cut your own christmas tree one time and it seemed like hundreds of praying mantises hatched out after several days eve have anything like that happen,neutral
you did such great job with your pretty greenery love the way boxwoods smell they smell like old homes to me and that good thing we use magnolias inside too down here in memphis north ms they stay green all winter and have big flat leaves keep up the great work can wait till part 3 of the story love to all from memphis,positive
lovely family great video wonderful decorations and interesting ideas maybe god willing this time next year will be back in my own home blessings to you and yours ps that swag is beyond awesome it is great love it,positive
ya know tipper many years ago my childhood sweetheart was home for christmas and he and went out to the country around the creek and found some dried vines looked like grape vine but it wasn then he got sections about 20 or so long and cut them and wound them up and made huge wreath out of it it was so big it wouldn fit inside the bed of my pickup instead we had to put it around the actual cab or the truck and hold one of our hands out the window to hold it to make sure it didn fall off remember he climbed some of those big trees like he was half ape and was impressed of his climbing skills and told him that he died few years back and was my first sweetheart we played together as kids and grew up looking forward to weekends when he get to spend the weekend with his grandma just over the hill and pond from me think ll see if my new sweetheart is interested in bundling up this weekend and makiya little road trip with me to find some vines so we can make wreaths making our own in great tradition and surely much better and cheaper than the flimsy and pricey ones you see at stores just last weekend we went to local thrift store and checked out the bare vine type wreaths and they were priced as if they were made of gold shame shame shame you ve motivated me to not only make my own wreaths for the front gates and door of my house but thing for the wall as well so can hang the smaller ornaments from it and if that isn enough ll be on the mission to find real live cranberries to add to the wreaths and decorations just checked online and it seems that they re safe for both dogs and cats so win win situation lol stay safe hun,neutral
you guys did such beautiful job the garland and wreath love the smell of fresh pine too m always afraid to get it from outside because ve heard of things hatching out when it gets in the warm merry christmas to you all,positive
wish had crafty bone in my body love that you brought nature in and added to the festive look in your homes the swag is beautiful and would love to make one for my mantle have christmas ferns everywhere in my backyard if could find some cedar to use with they would be so lovely do you guys hang mistletoe sure miss going hunting for it with daddy merry christmas to all,positive
merry christmas awesome always enjoy the channel,positive
your wreaths and swags are beautiful you and corie are very talented and you have good eye and are very creative was florist for many years used to take five foot piece of chicken wire and would collect enough greenery to weave into the wire and make 3 foot 6 foot blanket to cover my dads grave added berries holly red bows and silk poinsettias somehow guess thought it kept the grave warm while the snow was falling it just made me feel better really enjoyed this video,positive
always love your videos and this one is especially nice it is wonderful that you can go out and select what you want to decorate your home beautifully for christmas really love the swag and you have the perfect place for it your other decorations are lovely too,positive
all the things you guys have made are fresh and beautiful great job,positive
love your show live in mi something great about watching is that m learning so much of cooking decorating etc even at the age of 63 very relaxing thank you,positive
just love the swag use to do this before moved to the hill country all have now is cactus to decorate with so noooo need to go to tree lot and see if can maybe get some pieces looks so cozy now love it,positive
enjoyed this love the greening of christmas have always done alot of the same things you do would go into the forest and gather things as well as in my yard you made some beautiful things very talented on another note we might get some snow all across the mountains if not on christmas day the days leading up to christmas it supposed to be very very cold christmas weekend even if it snows friday it is going to be so very cold it will stick around for christmas so we just might get our snow tipper thank you appreciate all always god bless,positive
it all looks beautiful such nice arrangements that swag is impressive,positive
love watching you and your girls live just over the big hill from you in east tenn sevier county,positive
totally beautiful,positive
the swag is so much prettier than anything you could find at the store love it,positive
looks beautiful,positive
that looks so nice great job the greening sure does give house christmas feel smells good too,positive
these kids are doing gymnastics,positive
it so funny when they do the front flips,positive
the next generation of squid game,positive
oh god gotta get away from that huge spiky gear does cartwheels,positive
theyre all n0nces,negative
rainbow did flip,neutral
but there run is funny,positive
they walk like zombies,neutral
the middle rainbow didn respect the logic of the video on round 5 and almost was running normally,neutral
just love da music,positive
this ragdolls have spine problems or something,negative
dark green is my favourite color but when 2 of the greens died though greens wouldnt survive like wny other color chase video but the last green was more determinated than the others and he was 1th most of the time in the final round,neutral
full course https www youtube com user cechaflo playlists shelf_id 36 view 50 sort dd,neutral
gorgeous work true craftsmanship,positive
what is your preference in thread size for steering wheel m about to order my own thread for my first attempt at this and don wanna go too big or small,positive
too time consuming,negative
very nice work very detail oriented hope you re safe wherever you are,positive
how long does it take you do one of these,neutral
now this is good looking stitch and final product great job,positive
feel like should be paying to watch this,positive
now this is called perfect job,positive
blacko to the world,neutral
love you music bro keep it up from ugaanda,positive
granny ll always love continue to rip,positive
big hearts,positive
if you are here in 2090 this musician called black sheriff is ghanaian musician who hits so differently unique and super talented in 2022,positive
this guy is something else naija agree,positive
ivorian and can swear black sherif is very liked in my country m more proud because my people is from ghana we were from ashanti kingdom continue in this road your will be iconic superstar hope you ll think to do concert in abidjan kwaku frimpong,positive
dedicate this song to my lovely dad rest in paradise,positive
listening to this got me emotional remembering the closest people lost sherif is pure talent biggest fan from kenya,positive
this song anytime listen to it feel what you feel because have also lost people who were close to my heart black to the world,positive
apparently two days from today will be exactly 5 years that he lost his lover rest well tina,positive
reveal more details,neutral
this was the video was working on lmao,neutral
duelist glove can move in god timestop if the duelist user leave the portal when god time stops,neutral
the thing that 1v1 glove can teleport baller that glove can cure the reaper effect,neutral
fun fact due list actually removes reaper tested it but it may be patched,neutral
wish had sdmin,neutral
that black thing can possibly be the ability recharge window that can possibly get hidden behind the borders of the screen,neutral
when you use stop ability on baller it actually gonna delete the baller cool detail,negative
already knew these before you knew the killstreak ones like 39 days ago the details have been out for long time just like 2 days after the killstreak only,neutral
the little ui piece you can see slight bit of on the right side of the screen is template for the glove ability ui you can tell this by changing window size very fast in specific way it does not have any other use,neutral
got secret detail that do not think anyone but me noticed,neutral
0 32 the thing on the side is actually the ability cooldown bar,neutral
saw that thing on the side too,neutral
saw that line at the bottom right corner it the ability outline,neutral
died from the lobby,negative
123th comment,neutral
you can jump on the candy can vine on slapple island,neutral
another secret detail the portal of the old killstreak 50 phase tendrils spins 2x faster than 10 kills phase,neutral
0 34 it says glove ability,neutral
omg neble met today were dancing waith other guy you had 728 620 slaps you saw me got screenie with you and used shield and me and the other specator you saw the name shoetedia and that was me,positive
good job,positive
give details of items used ur work is amazing,positive
super,positive
beautiful work amazing talent,positive
it beautiful like it very much,positive
steve here this video was very tender for me because of the meaning behind it lewis capaldi wrote it in order to emotionally process the death of his aunt who ended her own life have family member who died the same way he was suffering from such debilitating mental illness that know he wasn in his right mind when he took his life but like lewis words say played the blame game blamed myself for not doing more saying more not being more aware blamed the darkness that is pervasive in some aspects of this world right now even blamed him felt like his poor choices had led to his challenges but then one day as was praying my heart changed realized that maybe it was the other way around that his challenges had led to his poor choices instead the blame the anger and even the pain started to melt into compassion if you are struggling and considering suicide as an option to ease your pain or dispel your darkness know that your presence is priceless worth infinitely more than your absence watch the sunrise every day you can and consider it symbol of your total reset do over second chance to start again see it as light that breaks through the night yes night will come again and again but so does the sunrise it always will and which one is more beautiful more powerful more present more like who you really are inside for those of you like me that have felt devastated by this loss and this confusion there is still hope hope that one day all things will be made right hope that as mental illness inhibitions somehow are stripped away in the next life challenging barriers can crumble away too and allow for light to enter where darkness was before there is hope for reconciliation healing and for love to completely smother self loathing believe in second chances and third and fourth and fifth for everyone that what hope this instrumental version of this tune feels like to you if you are hurting wondering blaming searching praying hoping against hope this song is for you,positive
this should be the only band,positive
help is available speak with someone today 988 suicide and crisis lifeline hours available 24 hours languages english spanish learn more 988 it available to either call or chat please forward if you know someone who is struggling and could use this,positive
missed you guys,positive
pretty please will you guys do cover of ll be your mirror by the velvet background,neutral
steven m always so impressed with how you always play your cello with so much emotion can feel your sincerity and passion behind this song in particular with how expressive you were it was so beautiful,positive
stephen neppolhill albert einsten abrahaam lincoln mozart platto m edis sioen goodluckice studis amfun ti happenise,neutral
play cello and he they are just so inspiring for me,positive
beautiful,positive
where was this filmed,neutral
00 36,neutral
lovely,positive
really powerful song,positive
its been ten years now since ive stumbled upon this chanel first it was some good music like to listen to once in while but since my father passed away due to covid your songs becamce so much more to me it may mean nothing to you but your music still make me shed tear and remeber the good times had with my dad just let me say thanks for that,positive
hi its tezza love you all,positive
