,comment,sentiment
118,believe it or not perfect punk wood is difficult to find in our area of the philippines groundskeeping crews inside our subdivision scoop up most limbs and logs much of what we find is not ready yet the rest is too far gone to pick up it will crumble to nothing we are always looking knowing that we do not need much material we have started aging some wood chunks in our small garden at the front of our home the wood pieces are simply part of the display we hope to catch the wood at the point of perfect punk not recommended near wood structure but most homes here in the phils are cement hollow block and re bar construction maybe it is time to move north to the mountains permanently,neutral
119,that slow motion punk wood pour you know what we like,neutral
120,thats interesting using the punkwood dust seems like it takes little while before it gets going but works and neat experiment thanks again for the instruction and be safe out there,positive
121,how about crushed punk wood and wood ash mixed any difference think the ash may accelerate the burn after ignition maestro,neutral
122,that was really good tip thanks for the lesson david,positive
123,pinecones are an awesome resource ive sat by the river on several nights with huge bag of pinecones and hanging hobo stove just feeding the fire neat idea with the punk wood,positive
124,thanks david,positive
125,pine cones seem to do well for sure,positive
126,good evening how long and how did you dry the punkwood greetings from germany,positive
127,good videomen thank you for teaching,positive
128,if you put fuse on that pine cone bomb it would be classic 3 explosive and the feds would be at your door you keep fire making interesting,positive
129,that was interesting david thanks for sharing god bless,positive
130,this guy is awesome,positive
131,you are the god of fire,positive
132,it sounds like dish from fancy french restaurant our fire du jour is punkwood stuffed pine cones empty bic and swirling winds ignited 350 00 bon appetit please follow the links below and subscribe thank you 40 pine cones and fatwood for breakfast https youtu be cz3p_ 83qua empty bics making fire https www youtube com playlist list plkoxx8xsmw3kwv1ni1qnjnatqdhgjfcw5,neutral
133,discover céline that you ve never seen before as you to travel with her her family and the crew around the world africa asia oceania europe and north america céline through the eyes of the world opens the backstage door to the tour that brought her show to 25 countries and 93 cities you ll be right there with céline both on and off stage 25 exciting and intimate clips including performances of drove all night and pour que tu aimes encore are now available here https youtube com playlist list plp2wqy2c9oij8kioydlgsm6elowd5yxpt,positive
134,great song xxxxx xxxxx xxxxx xxxxx,positive
135,hi good evening blessings,positive
136,amazing,positive
137,great editing,positive
138,love this song,positive
139,very busy day,negative
140,good advocacy,positive
141,thanks thanks mama ksa love love,positive
142,can take the nasal intonation out of it,positive
143,my canadian heart beams girl with the high heels getting up on pianos,positive
144,the lilac balmain dress is so beautiful,positive
145,ve so much respect for beautiful talented celine dion love you so much,positive
146,most beautiful and lovely lady god bless you and your family,positive
147,that girl reaction is so priceless 3 15 anyways when was this is this from 17 years ago world tour concert,positive
148,streamed 3 seconds ago,neutral
149,hey guys im sorry youtube keep disabling the comments again,neutral
150,omg ur so gifted and skilled ur work is beautiful we love so much,positive
151,its supernatural extraterrestrial,positive
152,wait wasn this your 3rd ever video,neutral
153,god just caste then in movie already,neutral
154,wearing buzz lightyear hoodie pjs,neutral
155,hey cae just wanted to say your videos are amazing you are the definition of beautiful and talented you have been inspiring me lately as am new you gave me motivation to make new stories as am an author even if am wish to be like you even if will not be succesful will still support you more than anything,positive
156,get messages from the stars,neutral
157,can do zombie apocalypse pov,neutral
158,can you do video where you show us how you do your makeup looks there always so pretty and mystical,neutral
159,me saying the lyrics wrong my whole life,neutral
160,girl are so pretty,positive
161,gay,neutral
162,amazing,positive
163,love how the alien acts like aaaaaaaaaaa its so enchanting and amazing keep it up,positive
164,how do you do the cool magic looking thing with videos like the alien,neutral
165,is it supposed to be stockholm syndrome,neutral
166,love theists,positive
167,love your videos,positive
168,can do the museum again love them,positive
169,fgtv like man,positive
170,siri spell spending money,positive
171,youcool,neutral
172,bro can even spend 10 defiantly would die,negative
173,chase is playing the best game ever lol,neutral
174,broooooo first time see scolding him,neutral
175,what the game name,neutral
176,is it just me or is it funny when he says in the name of jeasus,positive
177,happy birthday to you,positive
178,luckily,neutral
179,man he am not cuz yesterday was my birthday wasn even that good,neutral
180,what the heck cgase,negative
181,happy birthday chase,positive
182,love the videos,positive
183,7 03 when duddy swears,neutral
184,watched this video like 17 times and just liked it today happy birthday tho chase,positive
185,he did technically he did make you money by putting that clip in the vid googled it and you guys make 1 21 per 1000 views and he is the reason that is the thumbnail so he made you more than 36000 bucks,neutral
186,wait wait did doody just swear,neutral
187,game name and happy birthday chase,neutral
188,chase imma ruin this man whole career,neutral
189,damn if had seen this yesterday might have taken some tournament rounds,neutral
190,what type of dog do you have see husky malamute in it,neutral
191,who would dislike this honest question what is there to dislike,neutral
192,thats it play around your opponents win condition thats completely changed how think about it,neutral
193,as long time fighting game lurker who just got into playing m really enjoying your videos and wisdom excellent content,positive
194,the art of war basically teaches these kinds of things generally if you have the advantage you take less risks and if you are at disadvantage you have to take more risks also if you know your opponent is in lead and is going to play safe then you can read or play around those less risky options and vise versa,neutral
195,dog widepeepohappy,positive
196,brain back off keep calm wait for the enemys panic to lead to mistake easy win heart finish him go,neutral
197,mostly increases my pressure and try to finish the round asap when got big lead over my opponent sure you can play around and playing safe but for me that means you throw down your good momentum and give more chance for your opponent to make comeback,neutral
198,the dog needs to be in more videos hype as fuck,positive
199,shhhhhhhhh how dare you divulge the secret of doing nothing,negative
200,hey guy it sajam welcome to another installment of my series supernoon is bad episode 10,negative
201,sajam talks about winning the game not necessarily about having fun in it and gambling on the scramble,neutral
202,genuinely love sajam application of tournament magic to fg have genuine love for the both of them and often find myself making similar comparisons,positive
203,want to hug exhibit a,positive
204,as fellow adult can agree breathing gets harder the older you get,neutral
205,meanwhile sajam be playing the ungast of bungas on strive,neutral
206,this advice doesn apply to marvel vs capcom 3,negative
207,how do people do this in the heat of match,neutral
208,think an important thing to add onto this is that playing safe does not mean playing passive you don want to take risks but at the same time you don want to give your opponent big opening by waiting apply enough pressure to limit their options so they re forced into big commitment,neutral
209,pls mobile nomber,neutral
210,kids voice is so annoying had to stop listening though was interested in the designs,neutral
211,aapke mobile number kya hai design karvana hai,neutral
212,very good vedio,positive
213,a,neutral
214,company royal plaster decoration works name jatinder singh contact 9810761217 9990056869 work experience 20 years work area delhi ncr we do pop gypsym pvc false ceiling,neutral
215,https youtu be 30qerpyfplo,neutral
216,ph no sir,neutral
217,pop9321365041 y,neutral
218,https youtu be xxjxkdyduac,neutral
219,c fall ceiling plane 150 rupees per sq feet,neutral
220,150 rupees per sq feet,neutral
221,mail civilwork493 gmail com contact for work,neutral
222,h,neutral
223,hi,neutral
224,80s music song like awesome,positive
225,at 2 48 my eyes get filled up if tears his voice is just no words he so talented and the reason why hes my bias looking forward to more songs from him 3 purple you,positive
226,hola pepsi cola jajajajijiji,positive
227,love,positive
228,he so handsome,positive
229,when my depression hits me hard calm myself and listen to this song thank you so much jeon jungkook amazing,positive
230,sooooo talented,positive
231,you are amazing,positive
232,jungkook voice is so nice,positive
233,my kookie why are you so perfect,positive
234,so fine bts,positive
235,love you jungkook,positive
236,jungkook,positive
237,so much in love with this song,positive
238,pero joanna callora be the first batch jungkook jk yone live in the,neutral
239,very beautiful sounds,positive
240,commence lucid dreaming,positive
241,me after realized that was being hunted,negative
242,this is my noise machine at hotels thanks,neutral
243,11 21,neutral
244,sounds same all way through,neutral
245,have my fan on my face headphones on listening to the rain feels like m in middle of rainforest all bundled up in my blankets best feeling ever goodnight,positive
246,im here almost every night before sleeping sooo good fr fr,positive
247,here we are years later and nobody changed the sheets,neutral
248,we are all but astronauts on mothership earth,positive
249,have developed low drone hum tinnitus which let my head vibrate with this it stops the vibration it is godsend thank you so much,positive
250,this must be wesley crusher room it gets no action at all,negative
251,4 24 27 wow,positive
252,thank you to whoever created this life saving video,positive
253,great to sleep to thanks,positive
254,like how we can see that most people wake up at 6 hrs of sleep due to the new most replayed feature,positive
255,everyone here has such awesome avatar pics,positive
256,here am again love this,positive
257,ve been playing this video almost every night and it never fails to put me to sleep quickly and deeply,positive
258,listened to this for the first time last night and it was soooo relaxing was off to dream land in no time literally hearing the deep bass of this sound in the background of my dream,positive
259,malayalis here,neutral
260,age of empires in ultra resolution amazing work guys,positive
261,really cool spirit,positive
262,if never see another build with unfinished interior walls and ceiling again it will be too soon,neutral
263,naked afraid man do it you guys would rock be worth watching,positive
264,me at 1am watching this,neutral
265,this guys are talented,positive
266,nice,positive
267,0 25 0 27 0 25 drunk jonah hill,neutral
268,damn kids these days cant even recognize fat jonah hill boy do feel old,negative
269,bring me back the twinkies,neutral
270,need adam sandler jonah hill movie like thats my boy with adam sandler and andy samberg funny people with adam sandler and seth rogen,positive
271,0 21,neutral
272,weird fact adam sandler worked with jonah hill twice and jack nicholson and his daughter in 3 movies within span of 6 years outside jack nicholson the others flew under the radar in this scene alone sums it up,neutral
273,couldn recognize jonah hill in this movie thought some dude who looked kinda like jonah hill,negative
274,look whos talking captain twinkie of the ss fatass,negative
275,would freak out if my daughter dressed like that,negative
276,having already lived through 2017 bear witness to the false advanced technology in the future in this movie,negative
277,nickacdo avocado in nutshell,neutral
278,0 58 59 savage,neutral
279,mon love you bring me back the twinkies,positive
280,young thug,negative
281,click is one of the best movies ever change my mind,positive
282,nobody nikocado avocado 0 25 0 29,neutral
283,hey when did you get boobs the same time you did dad lol class,neutral
284,same time you did dad,neutral
285,00 34,neutral
286,jesus is beautiful how many of us believe him,positive
287,thank you my king thank you jesus for all,positive
288,rescued forgiven and saved all by grace amazing love thank you lord m forever grateful,positive
289,thank you lord of endless love and mercy to me amen,positive
290,thank you lord happy thanksgiving church,positive
291,thank you jesus you ve given me life you ve opened my eyes love you lord love you lord you ve entered my heart you ve set me apart love you lord love you lord,positive
292,thean nyoon wee is jesus friends,neutral
293,thean nyoon wee ready help you together king jesus love both,positive
294,dont hide king jesus saw you and your partner helping you all the way,neutral
295,thank you lord thank you jesus thank you father thank you and thank you and can not say thank you enough thank you lord,positive
296,thank you jesus,positive
297,lil buddy your clueless,neutral
298,christ has set us free for freedom christ has set us free stand firm therefore and do not submit again to yoke of slavery or sin thank you jesus you set me free galatians 5 2,positive
299,pulang ke heaven,neutral
300,thank you jesus christ for giving me the life that have today,positive
301,안녕하세요 저는 fish13입니다 hello m fish13 그동안 여러분들과 함께 했던 랜드로버 디펜더 90을 매각하려고 합니다 세계에서 손꼽을 만큼 좋은 컨디션의 차라서 오래도록 보유하고 싶지만 다음 차를 준비하기 때문에 새로운 주인을 찾습니다 m going to sell the land rover defender 90 which ve been with you for while it one of the best cars in the world so want to keep it for long time m looking for new owner because m preparing my next car ready 그리고 보유중인 wragler tj 코란도도 매각 예정입니다 and the wragler j korando which we have will be sold 아래 링크의 encar를 참고해주세요 please refer to encar at the link below http www encar com dc dc_cardetailview do carid 33130810 listadvtype enquiry http www encar com dc dc_cardetailview do carid 33130820 listadvtype enquiry,neutral
302,love this guy,positive
303,nice camping car and equipment ia the car standard outfitted defender or is the camping equipement bought seperatly best regards from norway and harald,neutral
304,have you done video on the 110 dynamic yet,neutral
305,super stupid,negative
306,hello sir where do you get your great gadgets love your channel,positive
307,woooow it beautiful,positive
308,this should have over 100 million views play this song 24 8,positive
309,where bro from,neutral
310,bro hard den bitch and running his story in perfect angelic harmony,neutral
311,aww whooo if you knew what knew m living proof,positive
312,this inspired my mixtape saved by dha scale,positive
313,what up derez need you to sign me m going hard be like you on god saved by the scale help me help you gotta get my son back from the booth,neutral
314,this song fire know its old but fire,positive
315,who back here 2020,neutral
316,https soundcloud com youngdrew407 this is it remixyoung drew ft derez deshon ref clipboard,neutral
317,really had 2 struggle love dis,positive
318,tooo underrated,positive
319,gotta sack invested in some bells bitch,neutral
320,am the scale all peps,neutral
321,lol am tha scale,neutral
322,my shit fo sho,negative
323,underrated asf,positive
324,2020 it still fire,positive
325,04 30 m crying,negative
326,absolutely badass,positive
327,what nice natured lady,positive
328,all part of the act,neutral
329,you are incredible,positive
330,beautiful and talented performer god bless you in jesus name,positive
331,in 8 minutes she did what very few pianists would be able to do,positive
332,foolishly thought yet another video of pianist playing boring classical music but quickly changed my mind am fascinated by her mastery of the situation her cheerfulness spontaneity her talent at the piano her beauty both of the soul and physically and her magnificent smile eliane rodrigues you are very talented had never seen video like that before and especially since nothing was planned in advance really the whole situation is funny impressive and captivating d rather watch this than netflix 10 times positive video,positive
333,don think ve pushed my wife this far out of the way to watch youtube video before she fine by the way,positive
334,my granny hadn been entertained like this since 1970,neutral
335,ameiiiiiiii,neutral
336,think that she handled doesn handled look like it should be pronounced hand led that situation professionally and would have tried to make it something that would be experimental and entertaining like the way she did she could have blown it into yelling and screaming fit but she is classy pro who lightened things to make something fun out of it bravo,positive
337,pianis detail good beautifull,positive
338,omg how old is he you real good mama,positive
339,good job sweetie,positive
340,so wonderful this is how my now 2yr old was and m still shook he so vocal and advanced suspect it from watching his now 12 year old brother so much m looking at my 6 month old wondering how he will be,positive
341,my brother is 2 years old and he can count to 40,positive
342,sooo cute,positive
343,great job,positive
344,mrs rachel is life my grandson loves her and learns so much from her shows,positive
345,hey mom and dad love the content get fat pencils for your little ones it helps them write even up to 3rd grade,positive
346,count stairs as you go up and down did this with my toddler and she was able to count to 20 well before she was 2 years old,neutral
347,are your kids names actually cow badger panda and tiger just couriouis,neutral
348,very good,positive
349,yur son issocute,positive
350,wow amazing my kid is 2 and can say much or just chooses not to,positive
351,this was so much my oldest he started talking super early by 18 months he was speaking full sentences he also taught himself to count to 10 at 16 months my husband and hadn taught him he just absorbed it somewhere some kids just pick up things very early so exposing them to lots of information is helpful,positive
352,well done,positive
353,he is your twin lady think of all your precious children he is gonna be your twin all have the same face,positive
354,my mom works at daycare and she says kids count by 4 years old you seem to have motherhood gift,positive
355,so cute and smart like mom and dad and siblings,positive
356,mama he is your twin look at his eyes,positive
357,loved the greening when was younger and lived in tennessee would go out into the woods collecting different greens and do the same thing at the time didn truly realize what treasure had at my disposal miss those times merry christmas all love and blessings,positive
358,bought cut your own christmas tree one time and it seemed like hundreds of praying mantises hatched out after several days eve have anything like that happen,neutral
359,you did such great job with your pretty greenery love the way boxwoods smell they smell like old homes to me and that good thing we use magnolias inside too down here in memphis north ms they stay green all winter and have big flat leaves keep up the great work can wait till part 3 of the story love to all from memphis,positive
360,lovely family great video wonderful decorations and interesting ideas maybe god willing this time next year will be back in my own home blessings to you and yours ps that swag is beyond awesome it is great love it,positive
361,ya know tipper many years ago my childhood sweetheart was home for christmas and he and went out to the country around the creek and found some dried vines looked like grape vine but it wasn then he got sections about 20 or so long and cut them and wound them up and made huge wreath out of it it was so big it wouldn fit inside the bed of my pickup instead we had to put it around the actual cab or the truck and hold one of our hands out the window to hold it to make sure it didn fall off remember he climbed some of those big trees like he was half ape and was impressed of his climbing skills and told him that he died few years back and was my first sweetheart we played together as kids and grew up looking forward to weekends when he get to spend the weekend with his grandma just over the hill and pond from me think ll see if my new sweetheart is interested in bundling up this weekend and makiya little road trip with me to find some vines so we can make wreaths making our own in great tradition and surely much better and cheaper than the flimsy and pricey ones you see at stores just last weekend we went to local thrift store and checked out the bare vine type wreaths and they were priced as if they were made of gold shame shame shame you ve motivated me to not only make my own wreaths for the front gates and door of my house but thing for the wall as well so can hang the smaller ornaments from it and if that isn enough ll be on the mission to find real live cranberries to add to the wreaths and decorations just checked online and it seems that they re safe for both dogs and cats so win win situation lol stay safe hun,neutral
362,you guys did such beautiful job the garland and wreath love the smell of fresh pine too m always afraid to get it from outside because ve heard of things hatching out when it gets in the warm merry christmas to you all,positive
363,wish had crafty bone in my body love that you brought nature in and added to the festive look in your homes the swag is beautiful and would love to make one for my mantle have christmas ferns everywhere in my backyard if could find some cedar to use with they would be so lovely do you guys hang mistletoe sure miss going hunting for it with daddy merry christmas to all,positive
364,merry christmas awesome always enjoy the channel,positive
365,your wreaths and swags are beautiful you and corie are very talented and you have good eye and are very creative was florist for many years used to take five foot piece of chicken wire and would collect enough greenery to weave into the wire and make 3 foot 6 foot blanket to cover my dads grave added berries holly red bows and silk poinsettias somehow guess thought it kept the grave warm while the snow was falling it just made me feel better really enjoyed this video,positive
366,always love your videos and this one is especially nice it is wonderful that you can go out and select what you want to decorate your home beautifully for christmas really love the swag and you have the perfect place for it your other decorations are lovely too,positive
367,all the things you guys have made are fresh and beautiful great job,positive
368,love your show live in mi something great about watching is that m learning so much of cooking decorating etc even at the age of 63 very relaxing thank you,positive
369,just love the swag use to do this before moved to the hill country all have now is cactus to decorate with so noooo need to go to tree lot and see if can maybe get some pieces looks so cozy now love it,positive
370,enjoyed this love the greening of christmas have always done alot of the same things you do would go into the forest and gather things as well as in my yard you made some beautiful things very talented on another note we might get some snow all across the mountains if not on christmas day the days leading up to christmas it supposed to be very very cold christmas weekend even if it snows friday it is going to be so very cold it will stick around for christmas so we just might get our snow tipper thank you appreciate all always god bless,positive
371,it all looks beautiful such nice arrangements that swag is impressive,positive
372,love watching you and your girls live just over the big hill from you in east tenn sevier county,positive
373,totally beautiful,positive
374,the swag is so much prettier than anything you could find at the store love it,positive
375,looks beautiful,positive
376,that looks so nice great job the greening sure does give house christmas feel smells good too,positive
377,these kids are doing gymnastics,positive
378,it so funny when they do the front flips,positive
379,the next generation of squid game,positive
380,oh god gotta get away from that huge spiky gear does cartwheels,positive
381,theyre all n0nces,negative
382,rainbow did flip,neutral
383,but there run is funny,positive
384,they walk like zombies,neutral
385,the middle rainbow didn respect the logic of the video on round 5 and almost was running normally,neutral
386,just love da music,positive
387,this ragdolls have spine problems or something,negative
388,dark green is my favourite color but when 2 of the greens died though greens wouldnt survive like wny other color chase video but the last green was more determinated than the others and he was 1th most of the time in the final round,neutral
389,full course https www youtube com user cechaflo playlists shelf_id 36 view 50 sort dd,neutral
390,gorgeous work true craftsmanship,positive
391,what is your preference in thread size for steering wheel m about to order my own thread for my first attempt at this and don wanna go too big or small,positive
392,too time consuming,negative
393,very nice work very detail oriented hope you re safe wherever you are,positive
394,how long does it take you do one of these,neutral
395,now this is good looking stitch and final product great job,positive
396,feel like should be paying to watch this,positive
397,now this is called perfect job,positive
398,blacko to the world,neutral
399,love you music bro keep it up from ugaanda,positive
400,granny ll always love continue to rip,positive
401,big hearts,positive
402,if you are here in 2090 this musician called black sheriff is ghanaian musician who hits so differently unique and super talented in 2022,positive
403,this guy is something else naija agree,positive
404,ivorian and can swear black sherif is very liked in my country m more proud because my people is from ghana we were from ashanti kingdom continue in this road your will be iconic superstar hope you ll think to do concert in abidjan kwaku frimpong,positive
405,dedicate this song to my lovely dad rest in paradise,positive
406,listening to this got me emotional remembering the closest people lost sherif is pure talent biggest fan from kenya,positive
407,this song anytime listen to it feel what you feel because have also lost people who were close to my heart black to the world,positive
408,apparently two days from today will be exactly 5 years that he lost his lover rest well tina,positive
409,reveal more details,neutral
410,this was the video was working on lmao,neutral
411,duelist glove can move in god timestop if the duelist user leave the portal when god time stops,neutral
412,the thing that 1v1 glove can teleport baller that glove can cure the reaper effect,neutral
413,fun fact due list actually removes reaper tested it but it may be patched,neutral
414,wish had sdmin,neutral
415,that black thing can possibly be the ability recharge window that can possibly get hidden behind the borders of the screen,neutral
416,when you use stop ability on baller it actually gonna delete the baller cool detail,negative
417,already knew these before you knew the killstreak ones like 39 days ago the details have been out for long time just like 2 days after the killstreak only,neutral
418,the little ui piece you can see slight bit of on the right side of the screen is template for the glove ability ui you can tell this by changing window size very fast in specific way it does not have any other use,neutral
419,got secret detail that do not think anyone but me noticed,neutral
420,0 32 the thing on the side is actually the ability cooldown bar,neutral
421,saw that thing on the side too,neutral
422,saw that line at the bottom right corner it the ability outline,neutral
423,died from the lobby,negative
424,123th comment,neutral
425,you can jump on the candy can vine on slapple island,neutral
426,another secret detail the portal of the old killstreak 50 phase tendrils spins 2x faster than 10 kills phase,neutral
427,0 34 it says glove ability,neutral
428,omg neble met today were dancing waith other guy you had 728 620 slaps you saw me got screenie with you and used shield and me and the other specator you saw the name shoetedia and that was me,positive
429,good job,positive
430,give details of items used ur work is amazing,positive
431,super,positive
432,beautiful work amazing talent,positive
433,it beautiful like it very much,positive
